Fri Nov  7 13:23:14 2025 | Satellite ID: 2 |POS: (-483.84423784982687, -715.4947199676772, 573.1316554984815)  | VEL: 2.55 km/s    |
Fri Nov  7 13:23:14 2025 | Satellite ID: 1 |POS: (643.7380734992864, 871.065973131505, -218.0565165228685)  | VEL: 7.98 km/s    |
Fri Nov  7 13:23:14 2025 | Satellite ID: 3 |POS: (450.23614163035427, -208.2480147949617, 331.5676573504006)  | VEL: 3.69 km/s    |
Fri Nov  7 13:23:15 2025 | Satellite ID: 1 |POS: (914.7241526191151, 939.0132079945176, 42.296230250529106)  | VEL: 4.90 km/s    |
Fri Nov  7 13:23:15 2025 | Satellite ID: 3 |POS: (753.2065796072457, -383.5975799257993, 110.98882372944831)  | VEL: 1.07 km/s    |
Fri Nov  7 13:23:16 2025 | Satellite ID: 1 |POS: (360.79479887570324, -748.2422138533198, -471.77378226125734)  | VEL: 6.24 km/s    |
Fri Nov  7 13:23:16 2025 | Satellite ID: 2 |POS: (-999.7902509236944, 902.9632778181037, -801.4361312694167)  | VEL: 2.76 km/s    |
Fri Nov  7 13:23:16 2025 | Satellite ID: 3 |POS: (547.8985061640076, -488.9610984120443, -47.8438625036091)  | VEL: 9.07 km/s    |
Fri Nov  7 13:23:17 2025 | Satellite ID: 1 |POS: (282.0018127232556, 896.9218700723372, -827.0441238529282)  | VEL: 6.09 km/s    |
Fri Nov  7 13:23:17 2025 | Satellite ID: 2 |POS: (-808.832043862999, 166.89884785176673, -662.0224991142172)  | VEL: 7.52 km/s    |
Fri Nov  7 13:23:17 2025 | Satellite ID: 3 |POS: (-381.1676348418347, -253.0083318404503, -896.0339456615269)  | VEL: 7.04 km/s    |
Fri Nov  7 13:23:18 2025 | Satellite ID: 1 |POS: (271.8914548207488, -702.8428092478277, -710.3939327473568)  | VEL: 7.60 km/s    |
Fri Nov  7 13:23:18 2025 | Satellite ID: 2 |POS: (297.0924444683585, -971.2332415105111, -482.79473192970704)  | VEL: 8.18 km/s    |
Fri Nov  7 13:23:18 2025 | Satellite ID: 3 |POS: (-294.88148944766726, 622.500838536306, 420.59227457102156)  | VEL: 2.07 km/s    |
Fri Nov  7 13:23:19 2025 | Satellite ID: 1 |POS: (-530.5832815125722, -795.9225337103824, 143.40361121747696)  | VEL: 4.27 km/s    |
